299,82,222,150
309,72,229,140
420,134,321,181
393,137,302,190
390,173,298,220
408,169,312,215
415,135,318,181
455,127,351,168
456,162,348,197
360,95,275,155
518,62,389,95
409,305,310,343
381,312,289,352
454,300,342,332
297,359,216,409
506,336,360,363
340,365,246,408
381,362,275,400
419,357,301,391
462,354,332,381
483,578,312,592
522,580,337,587
564,555,384,564
231,402,153,452
241,383,164,434
192,588,117,623
369,629,248,646
357,562,245,589
368,443,261,477
420,439,299,470
304,481,214,515
339,496,244,528
394,492,283,521
449,490,322,511
606,592,426,594
647,499,473,499
635,423,476,426
92,498,95,555
54,634,63,677
132,645,127,667
151,745,77,768
206,744,111,766
722,642,547,630
750,644,570,628
739,791,557,774
290,826,177,830
236,863,99,862
836,451,642,432
844,502,643,479
778,505,592,486
